estados,if,while,for,switch,int,char,bool,;,=,and,or,xor,not,(,),+,-,*,/,<,>,<=,>=,!=,==,{,},else,case,break,num,id,char,:,read,printf,"""",lambda,$,<program>,<inst>,<declaration>,<declaration2>,<atrib>,<atrib2>,<tipo>,<expr>,<binaria>,<unaria>,<unaria_term>,<termo>,<op>,<op_log>,<op_rel>,<op_arit>,<if>,<else>,<switch>,<case-loop>,<case>,<case2>,<for>,<attr_for>,<while>,<print>,<print2>,<read>
69,,,,,,,,,,,,,,R39,,,,,,,,,,,,,,,,,R39,R39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,R40,,,,,,,,,,,,,,,,,R40,R40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,R41,,,,,,,,,,,,,,,,,R41,R41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,R42,,,,,,,,,,,,,,,,,R42,R42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,R43,,,,,,,,,,,,,,,,,R43,R43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,R44,,,,,,,,,,,,,,,,,R44,R44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,R46,,,,,,,,,,,,,,,,,R46,R46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,R45,,,,,,,,,,,,,,,,,R45,R45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,R25,,,,,,,R25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,R26,,,,,,,R26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,R27,,,,,,,R27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,R24,,,,,,,R24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,E93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,E94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,E42,E43,,,E41,,,,,,,,,,,,,,E45,E44,,,,,,,,,,,,,,,95,38,39,,40,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,E42,E43,,,E41,,,,,,,,,,,,,,E45,E44,,,,,,,,,,,,,,,96,38,39,,40,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,E97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,E98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,R16,R16,R16,R16,R16,R16,R16,,,,,,,,,,,,,,,,,,,,,,,,,R16,,,R16,R16,,R16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,R15,R15,R15,R15,R15,R15,R15,,,,,,,,,,,,,,,,,,,,,,,,,R15,,,R15,R15,,R15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
